"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","dv","dframe"
"fixed",NA,"zoom",-1.39395126310072,1.12666862187453,-1.23723270182273,416.839871931881,0.216697224616421,-3.60861149313446,0.820708966933017,"arousal","by_sample_iqr_out3.5"
"fixed",NA,"screen_width",-4.46407454011291,2.86455244502454,-1.55838464325085,282.165653638788,0.120262961020919,-10.1026793954443,1.17453031521847,"arousal","by_sample_iqr_out3.5"
"fixed",NA,"screen_height",4.28099425215475,2.66565781602991,1.60598041744556,333.257235803034,0.109225310942269,-0.962642314026372,9.52463081833587,"arousal","by_sample_iqr_out3.5"
"fixed",NA,"median_sampling_freq",0.065047918892944,0.594858023792285,0.109350326113543,3167.63007852867,0.912931557919295,-1.10129804641741,1.2313938842033,"arousal","by_sample_iqr_out3.5"
"ran_pars","ID","sd__(Intercept)",17.2418567667865,NA,NA,NA,NA,NA,NA,"arousal","by_sample_iqr_out3.5"
"ran_pars","Residual","sd__Observation",16.2544370332175,NA,NA,NA,NA,NA,NA,"arousal","by_sample_iqr_out3.5"
"fixed",NA,"(Intercept)",68.6846247190838,1.43297828421899,47.9313786367104,167.000861690877,1.56077797854042e-99,65.8555374170389,71.5137120211288,"valence","by_sample_iqr_out3.5"
"fixed",NA,"timestamp",-0.484324291650558,0.147959330206277,-3.27336093624742,9365.04243958682,0.00106662025950394,-0.774356734566367,-0.194291848734749,"valence","by_sample_iqr_out3.5"
"fixed",NA,"zoom",-2.64032007078386,1.10948993381325,-2.37976027570547,560.698604809407,0.0176573314407904,-4.81958452298554,-0.461055618582174,"valence","by_sample_iqr_out3.5"
"fixed",NA,"screen_width",-2.8891702073732,2.89965901931023,-0.996382742982129,348.689387370643,0.319755148547237,-8.59219246376244,2.81385204901604,"valence","by_sample_iqr_out3.5"
"fixed",NA,"screen_height",2.46857651548649,2.66777402236058,0.925331941459636,412.395306682413,0.355334420045044,-2.77555501733378,7.71270804830677,"valence","by_sample_iqr_out3.5"
"fixed",NA,"median_sampling_freq",-0.443535894200433,0.541258377069831,-0.819453172441541,4746.52311395618,0.412569052019565,-1.50465340366882,0.617581615267954,"valence","by_sample_iqr_out3.5"
"ran_pars","ID","sd__(Intercept)",18.4565935179041,NA,NA,NA,NA,NA,NA,"valence","by_sample_iqr_out3.5"
"ran_pars","Residual","sd__Observation",14.3001188867502,NA,NA,NA,NA,NA,NA,"valence","by_sample_iqr_out3.5"
"fixed",NA,"(Intercept)",-3.89088707449347,0.181408447542106,-21.448213284502,NA,4.74531652382427e-102,-4.24644109816732,-3.53533305081962,"stress","by_sample_iqr_out3.5"
"fixed",NA,"timestamp",-0.0101185909856136,0.0499866383442913,-0.202425914619825,NA,0.839583770793113,-0.108090601848653,0.0878534198774262,"stress","by_sample_iqr_out3.5"
"fixed",NA,"zoom",0.250093014751813,0.157249769120978,1.59041896309181,NA,0.111740398683956,-0.0581108693025428,0.558296898806169,"stress","by_sample_iqr_out3.5"
"fixed",NA,"screen_width",0.591313710152693,0.395763929096303,1.49410713478339,NA,0.135147619450054,-0.184369337256124,1.36699675756151,"stress","by_sample_iqr_out3.5"
"fixed",NA,"screen_height",-0.687864376737958,0.391067411617001,-1.75894067443193,NA,0.078587585614673,-1.45434241903458,0.0786136655586654,"stress","by_sample_iqr_out3.5"
"fixed",NA,"median_sampling_freq",0.138584172244965,0.109225359274772,1.26879117784668,NA,0.204515552469484,-0.0754935981320358,0.352661942621965,"stress","by_sample_iqr_out3.5"
"ran_pars","ID","sd__(Intercept)",1.68163640510568,NA,NA,NA,NA,NA,NA,"stress","by_sample_iqr_out3.5"
"fixed",NA,"(Intercept)",67.7025665968267,1.34264617444165,50.424726845836,166.791543873798,6.85563584882115e-103,65.0517950695016,70.3533381241517,"arousal","by_participant_cutoffNA"
"fixed",NA,"timestamp",-1.01965316404528,0.157995676309148,-6.45367764400173,10566.2964006697,1.13951209044113e-10,-1.32935447540699,-0.70995185268357,"arousal","by_participant_cutoffNA"
"fixed",NA,"zoom",-1.15372247370887,1.10642275551764,-1.04275013140805,425.994738011504,0.297655424157371,-3.32844989703525,1.02100494961751,"arousal","by_participant_cutoffNA"
"fixed",NA,"screen_width",-4.73222477103778,2.83903206869414,-1.66684442321726,287.167380885555,0.0966355711406671,-10.3201759150582,0.855726372982657,"arousal","by_participant_cutoffNA"
"fixed",NA,"screen_height",4.49380206814821,2.63723002222576,1.70398563275703,338.483864400182,0.089301519781531,-0.693622019102815,9.68122615539924,"arousal","by_participant_cutoffNA"
"fixed",NA,"median_sampling_freq",0.199156166840265,0.570562811493346,0.349052133837832,3751.333937414,0.727069761146522,-0.91948732198663,1.31779965566716,"arousal","by_participant_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.2409711909767,NA,NA,NA,NA,NA,NA,"arousal","by_participant_cutoffNA"
"ran_pars","Residual","sd__Observation",16.2235160957404,NA,NA,NA,NA,NA,NA,"arousal","by_participant_cutoffNA"
"fixed",NA,"(Intercept)",68.6953866410281,1.4331095105727,47.9344991671824,167.163022009656,1.33904957808329e-99,65.8660602944511,71.524712987605,"valence","by_participant_cutoffNA"
"fixed",NA,"timestamp",-0.351742097557825,0.140201899468015,-2.5088254787737,10565.7750505547,0.012128182662703,-0.626564253330862,-0.0769199417847885,"valence","by_participant_cutoffNA"
"fixed",NA,"zoom",-2.55898256277025,1.09312904186675,-2.34097024666022,570.234227784509,0.0195772909207485,-4.70603322135078,-0.411931904189728,"valence","by_participant_cutoffNA"
"fixed",NA,"screen_width",-2.89798489394979,2.88017383681209,-1.00618402157191,353.571528854389,0.31501514819424,-8.56241146611673,2.76644167821715,"valence","by_participant_cutoffNA"
"fixed",NA,"screen_height",3.01936433233882,2.64693077427146,1.14070392837148,417.0414556793,0.254647784049652,-2.18362433082078,8.22235299549843,"valence","by_participant_cutoffNA"
"fixed",NA,"median_sampling_freq",-0.324229947585394,0.521383720726202,-0.62186434807323,5514.11580154984,0.534056779630448,-1.34634761934242,0.697887724171635,"valence","by_participant_cutoffNA"
"ran_pars","ID","sd__(Intercept)",18.4682357379009,NA,NA,NA,NA,NA,NA,"valence","by_participant_cutoffNA"
"ran_pars","Residual","sd__Observation",14.3950858003348,NA,NA,NA,NA,NA,NA,"valence","by_participant_cutoffNA"
"fixed",NA,"(Intercept)",-3.91126903671137,0.180913290771446,-21.6195781970082,NA,1.17546647962674e-103,-4.26585257094803,-3.55668550247472,"stress","by_participant_cutoffNA"
"fixed",NA,"timestamp",-0.0456143636661096,0.0467893546395998,-0.974887643085897,NA,0.329615996250421,-0.137319813619597,0.046091086287378,"stress","by_participant_cutoffNA"
"fixed",NA,"zoom",0.211001617966897,0.155111868956463,1.3603189709881,NA,0.173729007550793,-0.093012058762467,0.515015294696261,"stress","by_participant_cutoffNA"
"fixed",NA,"screen_width",0.690228500518192,0.395829294059254,1.74375295329928,NA,0.0812021773605351,-0.0855826598638587,1.46603966090024,"stress","by_participant_cutoffNA"
"fixed",NA,"screen_height",-0.893124593512364,0.390914051507989,-2.28470833951108,NA,0.0223299353084923,-1.65930205551866,-0.126947131506071,"stress","by_participant_cutoffNA"
"fixed",NA,"median_sampling_freq",0.138974248650351,0.108733478126616,1.27811830399208,NA,0.201207715948482,-0.0741394523915904,0.352087949692293,"stress","by_participant_cutoffNA"
"ran_pars","ID","sd__(Intercept)",1.70220790300484,NA,NA,NA,NA,NA,NA,"stress","by_participant_cutoffNA"
"fixed",NA,"(Intercept)",67.7371877749637,1.34478349006859,50.3703297037867,166.493399021768,1.07019274333573e-102,65.0821618249072,70.3922137250202,"arousal","by_participant_iqr_out2.5"
"fixed",NA,"timestamp",-1.11720982895384,0.175899453604346,-6.35141159373245,8600.37094494592,2.24168390773882e-10,-1.46201494861005,-0.772404709297633,"arousal","by_participant_iqr_out2.5"
"fixed",NA,"zoom",-1.70475247706366,1.15760160246193,-1.47265905078058,369.816016443099,0.14169354046083,-3.98105958112768,0.57155462700036,"arousal","by_participant_iqr_out2.5"
"fixed",NA,"screen_width",-4.70947093120402,2.82662506565081,-1.66611093506302,275.512396255256,0.0968278051875965,-10.273998073222,0.855056210813945,"arousal","by_participant_iqr_out2.5"
"fixed",NA,"screen_height",4.41975252590908,2.62205639940815,1.68560543812357,330.088402264498,0.0928168281772251,-0.738295822388961,9.57780087420712,"arousal","by_participant_iqr_out2.5"
"fixed",NA,"median_sampling_freq",0.0345653657934354,0.586378374262692,0.0589472042465714,3004.50989692773,0.952998079997632,-1.11517829931435,1.18430903090123,"arousal","by_participant_iqr_out2.5"
"ran_pars","ID","sd__(Intercept)",17.2187328703644,NA,NA,NA,NA,NA,NA,"arousal","by_participant_iqr_out2.5"
"ran_pars","Residual","sd__Observation",16.2924187481813,NA,NA,NA,NA,NA,NA,"arousal","by_participant_iqr_out2.5"
"fixed",NA,"(Intercept)",68.8155473862097,1.42898515908478,48.1569363745414,167.228254953879,6.13971047640228e-100,65.9943715931359,71.6367231792835,"valence","by_participant_iqr_out2.5"
"fixed",NA,"timestamp",-0.432608064047404,0.154528626340336,-2.79953348640156,8600.3717057189,0.005129056903747,-0.735521236334879,-0.129694891759928,"valence","by_participant_iqr_out2.5"
"fixed",NA,"zoom",-2.58929494699934,1.14616003300759,-2.25910420223332,481.347457600099,0.0243234514131595,-4.84139005230924,-0.337199841689438,"valence","by_participant_iqr_out2.5"
"fixed",NA,"screen_width",-3.10595717227631,2.85908313318196,-1.0863472755406,337.141283229196,0.278101480726335,-8.72984606956155,2.51793172500893,"valence","by_participant_iqr_out2.5"
"fixed",NA,"screen_height",2.91277599800272,2.61902396258125,1.1121608811597,406.810318404777,0.266725779262258,-2.23573397063465,8.0612859666401,"valence","by_participant_iqr_out2.5"
"fixed",NA,"median_sampling_freq",-0.564912995747463,0.533065969491126,-1.05974312388904,4432.89555698501,0.28931921613636,-1.60998844503244,0.480162453537513,"valence","by_participant_iqr_out2.5"
"ran_pars","ID","sd__(Intercept)",18.3802369172433,NA,NA,NA,NA,NA,NA,"valence","by_participant_iqr_out2.5"
"ran_pars","Residual","sd__Observation",14.3112961703498,NA,NA,NA,NA,NA,NA,"valence","by_participant_iqr_out2.5"
"fixed",NA,"(Intercept)",-3.86299805585304,0.184204631068338,-20.9712320121849,NA,1.20113146792957e-97,-4.22403249853247,-3.5019636131736,"stress","by_participant_iqr_out2.5"
"fixed",NA,"timestamp",-0.00880217240124379,0.0517427338955676,-0.170114173306134,NA,0.864920347291632,-0.110216067298196,0.0926117224957087,"stress","by_participant_iqr_out2.5"
"fixed",NA,"zoom",0.276940179145227,0.158054553165528,1.75218096282992,NA,0.0797426960380067,-0.0328410526517782,0.586721410942232,"stress","by_participant_iqr_out2.5"
"fixed",NA,"screen_width",0.651213051020805,0.390930574433248,1.66580230253134,NA,0.0957527973956321,-0.114996795323915,1.41742289736552,"stress","by_participant_iqr_out2.5"
